title,date,body
像抓脱贫攻坚那样抓乡村振兴,2020-12-08,"
	（作者为法国席勒研究所研究员、《新团结》报主编）
	"
和音：推动构建人类命运共同体的生动例证,2020-11-30,"
	随着中国扩大对外开放的步伐不断向前迈进，中国以自身复苏带动世界共同复苏的效应日益凸显，中国同东盟合作的空间将更为广阔
	11月27日至30日，以“共建‘一带一路’，共兴数字经济”为主题的第十七届中国―东盟博览会在广西南宁举行。本届东博会首次采取线上线下相结合的办展形式，实体展总展位数5400个，“云上”参展企业1500多家。在27日的签约仪式上，各方共签订国内外投资合作项目86个，总投资额2638.7亿元，同比增长43.6%，增幅为历年东博会之最。东博会上澎湃的活力，充分说明中国同东盟合作潜力巨大。
	“新形势下，中方视东盟为周边外交优先方向和高质量共建‘一带一路’重点地区，支持东盟共同体建设，支持东盟在东亚合作中的中心地位，支持东盟在构建开放包容的地区架构中发挥更大作用。”习近平主席在第十七届中国―东盟博览会和中国―东盟商务与投资峰会开幕式上致辞，提出“提升战略互信，深入对接发展规划”“提升经贸合作，加快地区经济全面复苏”“提升科技创新，深化数字经济合作”“提升抗疫合作，强化公共卫生能力建设”。“4个提升”，观照现实，着眼长远，在东盟各界引发热议。泰国参议院外交委员会顾问阿颂西认为，这4点倡议对建设更为紧密的东盟―中国命运共同体具有重要指导意义，也为未来东盟―中国关系发展指明了方向。
	中国和东盟山水相连、血脉相亲，友好关系源远流长。在东盟对话伙伴中，中国创造了多项“第一”：第一个加入《东南亚友好合作条约》，第一个同东盟建立战略伙伴关系，第一个同东盟商谈建立自贸区，第一个明确支持东盟在东亚区域合作中的中心地位。
	2013年，习近平主席提出愿同东盟国家共建21世纪海上丝绸之路，携手共建更为紧密的中国―东盟命运共同体。7年来，双方互联互通不断加速，经济融合持续加深，经贸合作日益加快，人文交往更加密切，中国―东盟关系成为亚太区域合作中最为成功和最具活力的典范，成为推动构建人类命运共同体的生动例证。
	7年来，共建“一带一路”倡议在东盟国家落地生根、开花结果。双方正就共建“一带一路”倡议同东盟发展规划持续深化对接，稳步推进中老铁路、中泰铁路、雅万高铁等大项目。中国愿同东盟一道，落实《中国―东盟关于“一带一路”倡议同〈东盟互联互通总体规划2025〉对接合作的联合声明》，依托陆海新通道建设，加强铁路、公路、港口、机场、电力、通信等基础设施互联互通合作，加快推进现有经济走廊和重点项目建设，积极构建中国―东盟多式联运联盟。中国同东盟的相通相融是大势所趋、民心所盼。
	中国同东盟经贸合作不断取得新成就。中国―东盟自由贸易区全面建成10年来，双方贸易额从2010年的2928亿美元增长到2019年的6415亿美元。今年前三季度，双方贸易额达4818亿美元，同比增长5%，东盟首次成为中国最大贸易伙伴。双方经贸合作有力促进了彼此发展繁荣。日前签署的《区域全面经济伙伴关系协定》，有利于提升地区吸引力和竞争力，促进地区经济复苏，让亚太地区继续引领风气之先，进一步提振了双方经贸合作的信心。
	数字经济是全球未来的发展方向，也是中国同东盟合作的重要领域。今年是中国―东盟数字经济合作年，双方携手合作，抓住新一轮科技革命和产业变革机遇，发挥互补优势，聚焦合作共赢，可以在智慧城市、5G、人工智能、电子商务、大数据、区块链、远程医疗等领域打造更多新的合作亮点，为双方经济社会发展培育更多新动能。
	中国一贯秉持亲诚惠容周边外交理念发展同东盟国家关系。亲望亲好，邻望邻好。随着中国扩大对外开放的步伐不断向前迈进，中国以自身复苏带动世界共同复苏的效应日益凸显，中国同东盟合作的空间将更为广阔。明年是中国同东盟建立对话关系30周年，地区人民期待双方打造更高水平的战略伙伴关系，建设更为紧密的中国―东盟命运共同体，为地区形势注入更多稳定性和确定性，为地区发展注入更多新动能，增进地区国家人民的共同福祉。
	"
为全球共同抗疫贡献中国力量,2020-11-30,"
	当前，全球疫情仍在蔓延，一些国家面临第二波疫情威胁，各国抗疫情、稳经济、保民生之路任重道远。中国在取得抗疫斗争重大战略成果基础上，实现了经济稳步前行。各国媒体和国际人士积极评价中国持续做好常态化疫情防控工作，肯定中国为促进国际社会共同抗疫发挥的作用，表示愿同中方加强合作、携手抗疫。
	
	比利时弗拉芒公共广播电视公司和VTM电视台网站报道说，进入秋冬季以来，中国继续做好疫情防控工作。民众自觉保持社交距离，广泛使用健康码。这些做法让抗疫工作更高效有序。
	俄罗斯阿尔希波夫基金会主席阿尔希波夫表示，中国疫情防控工作毫不松懈，通过加强区域管理，对冷链食品等各个环节严格排查，为生产生活有序进行提供了保障。中国政府全力以赴，有效投入人力物力，中国民众高度配合，“这种团结与凝聚力令人震撼”。
	全球最大的国际航空公司协会之一“航空乘客体验协会”网站说，中国国内航空业和旅游业之所以能快速复苏，正是因为中国取得抗疫斗争重大战略成果并毫不松懈。中国有效采取公共卫生预防措施，运用大数据精准溯源、健康码追踪轨迹，让人们在旅行中对健康安全更加放心。
	美国《连线》杂志报道说，中国政府和民众在疫情防控方面作出不懈努力。民众严格执行卫生部门的防疫指导，政府不计成本救治病患，为困难群体提供生活补助。中国的疫情防控工作坚持不懈、目标坚定明确，为生产生活加快恢复正常提供保障。
	俄新社的文章说，当有零星病例出现时，中国有关部门会立即开展大规模检测，并运用大数据等进行溯源。中国民众高度信任政府，团结且有纪律性，严格遵守各项规定。严格措施和有效执行是中国抗疫成功的重要经验之一。
	
	南非媒体报道说，南非卫生部部长兹韦利・穆凯兹表示，中国以科学和实证为基础，积极研发更便利的诊断手段，不断研究和更新诊疗方案，并迅速推广最新的抗疫科研成果。在新冠肺炎疫苗研发过程中，中国科研人员攻坚克难。中国政府积极作为，向社会公众发布科学防控信息，通过各种形式普及科学知识，积极疏导社会心理，稳定公众情绪。
	美国《商业内幕》网站的文章说，中国采取严格措施防控境外输入。中国民众自觉保持社交距离，严格遵守防疫政策，各项科学举措行之有效。
	“今日埃及人”网站刊文说，中国采取措施加强对进口冷链食品的检查，保障疫情防控成果。
	柬埔寨《金边邮报》的文章说，中国政府印发《进口冷链食品预防性全面消毒工作方案》，要求在进口冷链食品首次与中国境内人员接触前实施预防性全面消毒处理。这一举措取得良好效果。报道指出：“中国为防控疫情付出巨大努力，目前的成果来之不易。”
	英国《每日电讯报》网站发表中国科学院上海巴斯德研究所教授丹尼尔・法卢什的文章说，中国疫情防控措施目标明确、手段科学、效果显著。大规模检测是为了识别每一位可能的感染者，追踪是为了识别每一位潜在感染者的每一次接触，严格防控手段确保每一个病例都被安全收治，避免更多传染可能。“各个步骤结合形成了一个良性循环”，有效、便捷、科学。中国在抗疫过程中尊重科学，认真听取传染病流行病学专家的意见，取得抗疫重大战略成果。
	柬埔寨民间社会组织联盟论坛项目计划部主任谢莫尼勒认为，中国“严格科学的防疫工作有效维护了抗疫成果，保障了人民的生命安全和身体健康”。
	
	南非《星报》刊文说，面对疫情，中国始终秉持人类命运共同体理念，坚定不移推进国际合作，携手各国共同走出疫情阴霾。团结合作是战胜疫情最有力的武器。非洲国家愿与中国守望相助，携手战疫。
	“中国为全球共同抗疫树立了典范，发挥了极其重要的作用。”埃及艾因夏姆斯大学校长马哈茂德・马蒂尼长期从事医学研究工作。他表示：“面对疫情挑战，我们更加意识到国际社会需要加强团结、彼此支持，中国向许多国家和国际组织无私地提供了援助。”
	菲律宾《马尼拉时报》报道说，中国为实现疫苗在发展中国家的可及性和可担负性作出贡献。
	南非《商报》说，中国加入“新冠肺炎疫苗实施计划”，承诺在疫苗研发完成并投入使用后，将疫苗作为全球公共产品，优先向包括非洲国家在内的发展中国家提供。“中国体现重信守诺的大国担当，为全球共同抗疫贡献中国力量。”
	（本报北京、布鲁塞尔、莫斯科、约翰内斯堡、开罗、曼谷11月29日电  记者颜欢、方莹馨、屈佩、李滢嫣、周�q、赵益普）
	"
,2020-11-29,
解放军报评论员：当好主人翁 建功新时代,2020-11-27,"
	劳动托举梦想，奋斗书写华章。
	习主席在全国劳动模范和先进工作者表彰大会上指出，“要充分发挥工人阶级和广大劳动群众主力军作用”。对军队来说，认真学习贯彻习主席重要讲话，就要始终坚持广大官兵在部队建设中的主体地位，激励和引导广大官兵“坚定不移听党话、矢志不渝跟党走，当好主人翁，建功新时代”，用辛勤劳动和顽强拼搏开创强军事业新局面。
	广大官兵是我军战斗力生成的主体，也是军队建设实践的主角，是部队各项任务的直接承担者和部队全面发展的直接推动者。坚持信任官兵、依靠官兵，团结和发动全体官兵，集思广益、群策群力推动建设发展，是我党我军的优良传统和制胜法宝。广大官兵有抱负、有担当、有作为，做新时代的追梦人，在火热军营锻造出彩人生，军队就有前途和希望，梦想就能抵达和实现。离开官兵这个主体和主角，再宏伟的战略目标也不能实现。
	党的十八大以来，广大官兵以强军兴军为己任，牢记强军目标、坚定强军信念，自觉把个人理想融入强军实践，把个人追求融进强军事业，立足本职岗位创造一流业绩，以主人翁姿态推进国防和军队现代化不断取得新成效。实践充分证明，只有充分发挥广大官兵的主体作用，最大限度调动广大官兵的积极性主动性创造性，军队建设的活力才能竞相迸发，实现中国梦强军梦才有强大力量和可靠依托。
	“幸福不会从天而降，梦想不会自动成真。”实现我们的奋斗目标，开创我们的美好未来，必须紧紧依靠广大官兵，必须进行辛勤劳动、诚实劳动、创造性劳动。党的十九届五中全会鲜明提出建军百年奋斗目标，标定了今后一个时期国防和军队现代化的目标指向和发展重心。从现在到2027年建军一百周年，是国防和军队建设很紧要的一段时间，更加需要全军官兵当好主人翁、主力军，积极投身新时代强军事业，用不懈奋斗把美好蓝图变成现实。
	社会主义是干出来的，新时代是奋斗出来的。广大官兵要深入贯彻习近平强军思想，不忘初心、牢记使命，立足党、国家和军队各项事业发展全局，认真学习贯彻党中央、中央军委和习主席对各项工作的决策部署，以全国劳动模范和先进工作者为榜样，大力弘扬劳模精神、劳动精神、工匠精神，不驰于空想、不骛于虚声，坚定信心、勇担重任，鼓足干劲、抓紧工作，众志成城开启新征程，凝心聚力建功新时代，努力创造新的辉煌、铸就新的伟业，不断把强国强军事业推向前进。各级党组织在发挥官兵主体作用的同时，要倾心服务官兵、关心爱护官兵，始终把官兵的冷暖放在心上，解决好官兵的实际困难，维护好官兵的合法权益，面对面、心贴心、实打实做好得人心、暖人心、稳人心的工作，使广大官兵把心思和精力投入到强军兴军各项事业中来，满腔热情地为实现中国梦强军梦作出新的更大贡献。"
解放军报评论员：加快实现军事训练转型升级,2020-11-27,"
	　　“要把握新时代新形势新任务新要求，增强忧患意识，强化使命担当，加快实现军事训练转型升级。”习主席在中央军委军事训练会议上的重要讲话，着眼提高我军能打仗打胜仗能力、有效履行新时代使命任务，对加快实现军事训练转型升级作出战略谋划，提出了明确要求，为全军部队加快构建新型军事训练体系、全面提高训练水平和打赢能力指明了方向、提供了遵循。
	　　仗怎么打兵就怎么练，打仗需要什么就苦练什么。当今世界，新军事革命正在加速推进，我国安全环境、军事斗争态势、我军使命任务、现代战争形态、我军组织形态、国防和军队现代化目标任务都发生新变化，加快实现军事训练转型升级既是强国强军所系，也是军事训练自身发展规律所向，必须与时俱进创新发展，向更高层次迈进。军事训练转型升级不是想不想转的问题，而是非转不可、必须转好、加快推进的问题。全面加强实战化军事训练，全面提高训练水平和打赢能力，迫切需要在军事训练领域主动来一场自我革命，在转型升级中谋求新的发展、实现新的突破。
	　　党的十八大以来，在习主席坚强领导下，国防和军队改革实现历史性突破，取得历史性成就，人民军队体制一新、结构一新、格局一新、面貌一新。惟改革者进，惟创新者强，惟改革创新者胜。这次改革，以创新的思路和办法从体制机制上解决军事训练领域深层次矛盾问题，把军事训练改革纳入新一轮国防和军队改革统筹推进，为解决实战化军事训练痼疾、加快实现军事训练转型升级提供了历史契机，新时代我军体制优势有力转化为军事训练优势、作战能力优势、制胜优势。
	　　胜人者力，自胜者强。当前，我军军事训练进入了全方位变革、整体性提升的新阶段，军事训练外部环境和内部条件都发生了深刻变化。只有牢牢把握新时代新形势新任务新要求，增强忧患意识，强化使命担当，加快军事训练转型升级，我军才能更好地实现由被动适应战争向主动设计战争转变、由机械化信息化复合发展向机械化信息化智能化融合发展转变，切实提高新时代备战打仗能力。
	　　备战能战方能慑战止战，兴训实训才能不辱使命。全军各级要深入学习贯彻习主席重要讲话精神，以强烈的使命感责任感，加快推进军事训练转型升级。要强化战训一致，坚持以战领训、以训促战，做到按实战要求训练，实现作战和训练一体化。要强化联合训练，坚持以联为纲，发展我军特色联合训练体系，加速提升一体化联合作战能力。要强化训练管理，优化管理模式和流程，加强相关法规制度和标准手段建设，提高全周期、精细化训练管理水平。要强化科技练兵，增强官兵科技素养，加强新装备新力量新领域训练，发展先进训练手段和方法，大幅提高训练科技含量。要强化训练保障，优化布局、完善要素、创新方式，构设逼真练兵环境，加快构建高水平训练保障体系。要强化人才支撑，贯彻新时代军事教育方针，发挥院校教育、部队训练实践、军事职业教育综合育人功能，培养大批练兵备战行家里手。要尊重官兵主体地位，发扬军事民主，鼓励创新创造，把广大官兵练兵热情激发出来、练兵智慧凝聚起来。要在艰苦严格的训练中、在近似实战的环境中、在严峻复杂的军事斗争中摔打和锻炼部队，引导官兵坚定理想信念、磨砺战斗意志、锤炼战斗作风，始终保持一不怕苦、二不怕死的顽强战斗精神，努力把我军军事训练提高到一个新的水平。"
光明日报评论员：努力建设高素质劳动大军,2020-11-27,"
	“劳动者素质对一个国家、一个民族发展至关重要。当今世界，综合国力的竞争归根到底是人才的竞争、劳动者素质的竞争。”习近平总书记11月24日出席全国劳动模范和先进工作者表彰大会并发表重要讲话强调，要努力建设高素质劳动大军。提高劳动者素质，事关改革发展稳定大局，事关劳动者根本利益和整体利益。
	自知者明，自胜者强。放眼世界，新一轮科技革命和产业变革，正在重构全球发展版图、重塑全球经济结构，世界各国加快争夺未来制高点、争创产业新优势的步伐，谁拥有人才上的优势，谁就拥有实力的优势。能否在激烈竞争中占到先机、赢得主动，归根到底要靠一支高素质的劳动者队伍。“技术工人是支撑中国制造、中国创造的重要基础。”因此，我们必须高度重视提高劳动者素质，努力建设高素质劳动大军。
	马克思曾指出：人是生产力中最活跃的因素。面对新一轮科技革命和产业变革的需要，广大劳动者还需密切关注行业、产业前沿知识和技术进展，勤学苦练、深入钻研，不断提高技术技能水平。要增强创新意识、培养创新思维，展示锐意创新的勇气、敢为人先的锐气、蓬勃向上的朝气。当代工人不仅要有力量，还要有智慧、有技术，能发明、会创新。
	随着新技术新业态新模式的迅猛发展，新形势下劳动者成长需要良好条件，因此要完善现代职业教育制度，创新各层次各类型职业教育模式。要推进产业工人队伍建设改革，落实产业工人思想引领、建功立业、素质提升、地位提高、队伍壮大等改革措施，造就一支有理想守信念、懂技术会创新、敢担当讲奉献的宏大产业工人队伍。建设宏大的知识型、技术型、创新型劳动者大军，培养和造就一批技艺精湛、技能高超、创新力强的能工巧匠，就能为推动我国从制造大国向制造强国转变、推动经济转型升级提供坚强的人才支撑。
	当前，随着改革不断深化，因为转方式、调结构、化解过剩产能等原因，一些企业和职工遇到了种种困难。越是这样，越要切实实现好、维护好劳动者合法权益，不断提升工人阶级和广大劳动群众的获得感、幸福感、安全感。
	开启新征程，扬帆再出发。从1950年至2020年，中央先后召开了16次全国劳模表彰大会。70年沧桑巨变，当今我国正处于实现中华民族伟大复兴的关键时期。劳动造就了中华民族的辉煌历史，我们也坚信，更多高素质的劳动者也必将创造出中华民族的光明未来。
	"
望海楼：奋力前行，建设文化强国,2020-11-27,"
	　　“繁荣发展文化事业和文化产业，提高国家文化软实力。”日前，十九届五中全会审议通过《中共中央关于制定国民经济和社会发展第十四个五年规划和二��三五年远景目标的建议》（以下简称规划《建议》），对此以专门一个部分进行阐释，并明确提出到2035年建成文化强国。蓝图宏阔，催人奋进，给人力量。
	　　这是社会主义现代化建设的时代命题、重要目标。
	　　文化兴国运兴，文化强民族强。中国特色社会主义是全面发展、全面进步的伟大事业，没有社会主义文化繁荣发展，就没有社会主义现代化。建设文化强国，是全面建设社会主义现代化国家题中应有之义。伟大事业需要文化助力。即将开启的全面建设社会主义现代化国家新征程，必然需要强大的价值引导力、文化凝聚力、精神推动力的支撑。统筹推进“五位一体”总体布局、协调推进“四个全面”战略布局，文化是重要内容；推动高质量发展，文化是重要支点；满足人民日益增长的美好生活需要，文化是重要因素；战胜前进道路上各种风险挑战，文化是重要力量源泉。文以载道，以文化人，中国社会主义现代化之路无比宽广。
	　　这是建设文化强国新征程的响亮号角、前行航标。
	　　航向标定，方能行稳致远。规划《建议》专门用一个部分对文化建设进行部署，为今后文化工作提供了根本遵循。新征程上，我们要坚持马克思主义在意识形态领域的指导地位，坚定文化自信，坚持以社会主义核心价值观引领文化建设，加强社会主义精神文明建设，围绕举旗帜、聚民心、育新人、兴文化、展形象的使命任务，促进满足人民文化需求和增强人民精神力量相统一，推进社会主义文化强国建设。社会文明程度提高，公共文化服务水平提升，现代文化产业体系健全，一幅文化繁荣、文明兴盛的生动图景正在徐徐展开。
	　　这是固本开新、打开文化建设新局面的实践路径。
	　　为者常成，行者常至。“十四五”是全面建设社会主义现代化国家开局起步的关键时期，文化建设理应迈出坚实步伐、笃定向前。对此，规划《建议》提出明确要求。在提高社会文明程度方面，提出要推动理想信念教育常态化制度化，加强党史、新中国史、改革开放史、社会主义发展史教育，加强爱国主义、集体主义、社会主义教育等。在提升公共文化服务水平方面，提出要全面繁荣新闻出版、广播影视、文学艺术、哲学社会科学事业等。在健全现代文化产业体系方面，提出要实施文化产业数字化战略，加快发展新型文化企业、文化业态、文化消费模式等。
	　　潮平两岸阔，风正一帆悬。“十三五”时期，中国文化事业和文化产业繁荣发展，文化建设在正本清源、守正创新中取得历史性成就、发生历史性变革，为开创党和国家事业新局面提供了强大正能量。
	　　站在“两个一百年”奋斗目标的历史交汇点上，我们底气十足，必将以更加自信昂扬的姿态，在建设文化强国新征程上奋力前行，不断铸就中华文化新辉煌，汇聚起实现中华民族伟大复兴的磅礴力量。
	　　（作者为本报评论员）"
金台随笔：用诗词感发人心,2020-11-27,"
	
	很多喜爱古诗词的人都听过叶嘉莹的名字。这位“诗词的女儿”，一生读诗、释诗、写诗、讲诗，与诗歌结下不解情缘。最近，一部关于叶嘉莹的文学纪录片《掬水月在手》上映，通过银幕光影，我们得以走近这位古典文化的“传灯人”，去感受她跌宕起伏却写满诗意的一生。
	我们为什么要读诗？古诗词对中国人的精神世界意味着什么？从叶嘉莹身上，或许能找到最好的答案。叶嘉莹诗心早慧，却一世多艰，遍尝生死不能相见、故土不能相还的寥心荼苦。是诗歌如日月光华，照亮了她生命中的灰暗时刻；又如一叶轻舟，渡她涉过生命的长河。在故土沦陷之时，她写下“尽夜狂风撼大城，悲笳哀角不堪听”的哀婉之声；在女儿遭遇意外的时刻，她用“迟暮天公仍罚我，不令欢笑但余哀”书写椎心之痛；漂泊海外时，她注解杜诗“夔府孤城落日斜，每依北斗望京华”，以浇胸中思乡块垒……那些与生命相融合的感发，那些以诗词为舟楫的依托，让她免于“在苦难中被磨碎”，也塑造了她一生的温润沉静、坚韧持守。所以有人说，“她站在那里，就是对古典诗歌最好的注解”。
	当然，对叶嘉莹而言，诗词并不只是爱好、慰藉，更是理想、信仰。所以她用尽一生研究古典诗词，更希望在自己亲身体会到了古典诗词美好、高洁的世界后，能打开一扇门，“把不懂诗的人接引到里面来”，并将其视为自己“生命的目的”。所以她屡次说如果自己不尽到传承的责任，就是“上对不起古人，下对不起来者”；所以她90多岁高龄仍登台授课而又著述不辍，只为“柔蚕老去应无憾，要见天孙织锦成”。她告诉初学诗歌的小男孩，“‘诗’就是心在走路”；她坚守讲台七十载，“阐说精妙，启发无穷”，留下“白昼谈诗夜讲词，诸生与我共成痴”的佳话；她启发普通人品读古典诗词的方法，告诉他们判断诗词好坏的标准，引领读者体味“兴发感动”的力量……正是不遗余力地做古典诗词的“摆渡人”，叶嘉莹成为无数人通往诗歌国度的路标。
	为什么让更多人走进诗歌如此重要？因为每个人都需要精神的栖息地，而诗歌里正有慰藉人生的精神养分。当你通过诗歌，与作者的生命情感发生碰撞，那些古典诗歌中蕴含的审美趣味，那些涌动着的生生不已的精神力量、那些穿越千年的诗心诗意，就能给予我们美好和希望，就能让我们在人生风雨袭来时获取勇气和力量。闻一多曾指出，“诗人对诗的贡献是次要问题，重要的是使人精神有所寄托”。当我们看到挥汗如雨的劳动者“劳者歌其事”、写下动人的诗篇；看到走南闯北、日晒雨淋的快递小哥，时刻把《唐诗三百首》放在行囊；看到农民大姐以诗词为精神良药，走过与病魔抗争的日日夜夜，我们就更能体味叶嘉莹“用诗词感发人心”的苦心，也更能明白诗词之于人生的意义。
	今天我们大力弘扬优秀传统文化，正是因为在以古典诗词为代表的传统文化里，蓄积着中国人的智慧、品格、襟怀和修养，凝聚着中华文化的理念、志趣、气度和神韵。让更多人从一首诗、一阕词、一篇文章中汲取文化养分、人生智慧、美好品格，中华优秀传统文化必将成为更多人生命的指路明灯，滋养一代又一代中华儿女的心灵。
	"
保蓝天要靠实干,2020-11-27,"
	
	进入秋冬季节以来，保蓝天的话题再次受到关注。在网上，关于“拉尼娜”的传闻时有传播。“拉尼娜”现象指的是赤道中、东太平洋海水表面温度与常年同期相比大范围变冷，并且强度和持续时间达到一定程度的现象。一些人期待“拉尼娜”到来，是因为冷空气会变得频繁，有利于污染物扩散。
	事实上，从治霾一线来看，保蓝天不应该寄托于天气的偶然因素，而应该把大气污染防治落到实处。确保“十三五”时期蓝天保卫战圆满收官、“十四五”时期蓝天常在，应该摒弃侥幸心理，面对现实，立足当前，着眼长远，构筑保卫蓝天的制度堤坝。
	要排除各种干扰，坚守靠实干才能保蓝天的信念。从落实“大气十条”，到蓝天保卫战，实践经验告诉我们，持续改善空气质量，既不能靠风，也不能靠等，更不能被各种各样的错误认识所迷惑、所动摇，要始终如一坚定大气污染治理方向不变、力度不减。要抓住各项重点减排工程，一件事情接着一件事情办，一年接着一年干，一鼓作气干到底，无论“拉尼娜”来不来、起不起作用，都要坚决克服各种松懈麻痹思想，时刻保持战斗状态，把秋冬季的污染减排工作，特别是重污染天气应对工作超前谋划好，方案制定好、具体落实好，求真功、求实效。
	要统筹谋划污染源管控工作，确保持续改善空气质量。在当前疫情防控常态化背景下，扎实落实好“六稳”“六保”和持续做好大气污染治理工作，必须立足大局，统筹安排。一些地方在今年秋冬季出现空气污染，与没有预先充分考虑疫情防控保障重点企业、重点工程建设项目排放量会对重污染天气造成影响有直接关系。笔者调查发现，一些城市制定的秋冬季减排清单中，尽管有全社会减排总量大盘子，但多数没有把上述保障企业在应急响应期间不限产、不停产所形成的污染量考虑进去，也没有安排其他减排项目来抵消这些增加量，导致排放量增加，意外重污染在本地形成后又殃及邻市。当前和今后数月，要确保空气质量持续改善，确保完成秋冬季目标任务，就要尽快弥补好类似可能存在的工作漏洞。
	同时，要精准做好重污染天气应对，通过做实重点工作保蓝天。今年以来，各地认真落实生态环境保护要求，大力倡导和践行精准治理、科学治理、依法治理。在实际工作中，还应在精准控污、精准抢争优良天、精准落实环保各项法规等方面下更大功夫，最大限度防治污染、保住蓝天。
	"
人民时评：切断“养号”平台的利益链,2020-11-27,"
	移动互联时代，人们已经习惯了随时点开社交媒体账号上的好友列表。然而，虚拟空间的账号安全性究竟如何？在线互动的“好友”是否真的友好？不久前，一则有关“养号”的消息引发关注。今年6月，在公安部“净网2020”集群战役中，江苏徐州公安机关成功打掉一个为网络诈骗、赌博等犯罪提供即时通信工具账号“养号”、交易服务的特大黑产平台――“小果平台”。此案一举捣毁源码技术团伙1个，卡商、号商窝点11个，查获“猫池”“卡池”设备5000余台、手机黑卡100余万张，抓获犯罪嫌疑人84名，其中涉案即时通信工具账号数量巨大，已串并各类网络诈骗案件1300余起，涉案金额5000余万元。
	“养号”平台给不法分子进行网络诈骗等非法活动以可乘之机，危害不可小觑。此次浮出水面的“养号”平台，还暴露出一条触目惊心的黑色产业链：涉案人员除了平台运营人员，还涉及QQ号商、手机卡商以及发卡平台的相关嫌疑人。不法分子通过“养号”平台购买“黑账户”进行网络诈骗，隐蔽性较强，极易造成公民财产损失。
	“养号”平台也严重干扰了互联网平台经济的良性运行。当前，数字经济蓬勃发展，已经成为消费升级的新动力，而在其中发挥重要作用的互联网平台经济，其赖以存在的基础便是真实、活跃的海量用户。一个个活跃账号产生的数据，经过聚合之后具有巨大价值。“养号”平台借助技术手段批量运营未经实名认证的账号，无疑会搅乱平台生态，为流量造假、网店刷单、虚假涨粉等行为大开方便之门。如果任其潜滋暗长，势必会干扰互联网平台经济的正常运行。
	遏制恶意注册互联网账号、切断“养号”平台的黑色利益链，还须精准治理、形成合力。从监管层面看，《互联网用户账号名称管理规定》明确指出，互联网信息服务提供者应当按照“后台实名、前台自愿”的原则，要求互联网信息服务使用者通过真实身份信息认证后注册账号。有关部门应进一步强化监管，把互联网用户账号实名注册的相关要求落到实处，及时封堵漏洞。近年来，公安部门持续开展“净网”等网络治理行动，严厉打击提供网络虚拟身份注册服务的“接码平台”等，查扣大量手机黑卡，对相关黑色产业链形成极大震慑。针对黑色产业链花样翻新、改头换面的问题，也应提升技术能力，及时发现问题苗头、严肃查处。
	对互联网平台企业来说，必须切实履行平台责任，主动净化平台生态。互联网企业掌握大量实时数据，应优化管理流程，严格审核机制，持续加大对违规行为的打击力度，不给“黑账号”留下生存空间。用户也应理性看待互联网账号的功能和价值。在大数据时代，个人互联网账号已经不仅仅是聊天工具，有可能连接着个人信息、支付、出行等多重功能，成为个人重要的虚拟财产。应当增强个人信息保护意识，重视账户安全，上网与他人互动时提高警惕，不参与买卖个人互联网账号。
	在打破了时空局限的虚拟空间，实时的互动、分享带来便捷与精彩，而这份精彩，需要大家共同托举。加强治理、重典治乱，让“养号”这样的非法平台无所遁形，才能更好守护人们对数字世界的美好期待。
	"
评论员观察：推动汽车消费向“使用管理”转变,2020-11-27,"
	
	
	《中共中央关于制定国民经济和社会发展第十四个五年规划和二��三五年远景目标的建议》提出，“推动汽车等消费品由购买管理向使用管理转变”。国务院常务会议指出，要稳定和扩大汽车消费，“鼓励各地调整优化限购措施，增加号牌指标投放”。从“购买管理”转向“使用管理”，是刺激汽车消费需求、恢复经济正常增长的重要治理转型，亟待政策的配套跟进和各地的支持配合。
	汽车对大部分家庭来讲都是名副其实的“大件”。回顾“十三五”时期，伴随居民收入的增长、消费的升级，汽车产销保持较快增速，其中新能源汽车的产销尤为快速，连续5年位居全球榜首。安全、科技、环保、自主创新的汽车产品与文化正平稳“驶入”千家万户，汽车产业称得上国民经济的重要支柱产业。同时，截至今年上半年，我国汽车保有量达2.7亿辆，但人均指标仍不及全球主要经济体，与群众对美好生活的需要和向往仍有不小差距。无论是坚定实施扩大内需战略、缓解经济下行压力，还是更好满足人民群众购车用车需求、改善民生福祉，都需要进一步挖掘、释放对汽车的潜在需求，都呼唤汽车消费政策的全面转型。
	要看到，从购买管理转向使用管理，不仅是形势发展的需要，也是因为我们已经具备了相应的治理能力。一个时期以来，全国许多地方特别是一些大城市通过摇号或竞价的方式发放车辆号牌，限制消费者进行汽车消费，其实是一种特定阶段的特定举措。大城市汽车保有量快速增长，容易造成严重的交通拥堵、环境污染，加上公共交通的不完善，导致机动车的激增与道路的承载力之间矛盾尖锐。严格的购买管理暂缓了矛盾堆积，为政策跟进留下了时间。从产业政策看，近两年相关部委先后出台政策，提出破除乘用车消费障碍、由限制购买转向引导使用、完善新能源汽车购置支持政策等。当前我们已经有条件通过减少城市限购、加强使用管理来合理引导居民汽车消费，同时疏解好交通拥堵等矛盾。
